,precision, recall, f1, roc, pr, precision_eval, recall_eval, f1_eval, samplenum
10000,0.5428571428571428,0.3433734939759036,0.42066420664206644,0,0,0.7757009345794392,1.0,0.8736842105263157,263
11024,0.5253456221198156,0.3433734939759036,0.4153005464480874,0,0,0.7632183908045977,1.0,0.8657105606258149,287
12048,0.5205479452054794,0.3433734939759036,0.41379310344827586,0,0,0.7597254004576659,1.0,0.8634590377113134,310
13072,0.5181818181818182,0.3433734939759036,0.41304347826086957,0,0,0.7579908675799086,1.0,0.8623376623376623,324
14096,0.5793357933579336,0.34966592427616927,0.43611111111111117,0,0,0.7975133214920072,1.0,0.8873517786561265,342
15120,0.6073825503355704,0.3181019332161687,0.41753171856978083,0,0,0.8294460641399417,1.0,0.9067729083665339,359
16144,0.6628242074927954,0.304635761589404,0.41742286751361163,0,0,0.8658256880733946,1.0,0.9280885064535956,384
17168,0.6576819407008087,0.31729518855656696,0.42807017543859643,0,0,0.8582589285714286,1.0,0.9237237237237237,400
18192,0.648936170212766,0.31729518855656696,0.4262008733624454,0,0,0.853496115427303,1.0,0.9209580838323352,418
19216,0.6370757180156658,0.31729518855656696,0.42361111111111105,0,0,0.8469162995594713,1.0,0.91711389385808,437
20240,0.6272493573264781,0.31729518855656696,0.4214162348877375,0,0,0.8413566739606126,1.0,0.9138443256090315,455
21264,0.6115288220551378,0.31729518855656696,0.4178082191780822,0,0,0.8322510822510822,1.0,0.9084465445953928,473
22288,0.6115288220551378,0.31729518855656696,0.4178082191780822,0,0,0.8322510822510822,1.0,0.9084465445953928,504
23312,0.6039603960396039,0.31729518855656696,0.4160272804774083,0,0,0.8277717976318623,1.0,0.905771495877503,533
24336,0.6481876332622601,0.29457364341085274,0.40506329113924056,0,0,0.8621553884711779,1.0,0.9259757738896366,553
25360,0.6901669758812616,0.3110367892976589,0.4288184438040346,0,0,0.8774761555392516,1.0,0.9347401328644002,571
26384,0.6875,0.3121869782971619,0.4293915040183697,0,0,0.8757309941520468,1.0,0.9337490257209665,589
27408,0.6875,0.3121869782971619,0.4293915040183697,0,0,0.8757309941520468,1.0,0.9337490257209665,609
28432,0.6812386156648452,0.3121869782971619,0.4281625643961076,0,0,0.8725418790968682,1.0,0.9319330999611046,620
29456,0.68,0.3121869782971619,0.4279176201372998,0,0,0.8719068413391557,1.0,0.9315707620528771,639
30480,0.6750902527075813,0.3121869782971619,0.4269406392694064,0,0,0.8693759071117562,1.0,0.9301242236024845,659
31504,0.6726618705035972,0.3121869782971619,0.42645381984036485,0,0,0.8681159420289855,1.0,0.9294026377036462,680
32528,0.6714542190305206,0.3121869782971619,0.4262108262108262,0,0,0.8674873280231716,1.0,0.9290422644435828,706
33552,0.6702508960573477,0.3121869782971619,0.4259681093394077,0,0,0.8668596237337193,1.0,0.9286821705426357,724
34576,0.7016129032258065,0.30655391120507397,0.426679744973026,0,0,0.8846633416458853,1.0,0.9388025140588819,739
