timestamp,value,label
2019-12-27T12:55:00+0800,44806161,0
2019-12-27T12:56:00+0800,45940557,0
2019-12-27T12:57:00+0800,39675640,0
2019-12-27T12:58:00+0800,33281179,0
2019-12-27T12:59:00+0800,37376103,0
2019-12-27T13:00:00+0800,47341150,0
2019-12-27T13:02:00+0800,66171266,0
2019-12-27T13:03:00+0800,74105325,0
2019-12-27T13:04:00+0800,65138372,0
2019-12-27T13:05:00+0800,54851570,0
2019-12-27T13:06:00+0800,46141194,0
2019-12-27T13:07:00+0800,42920729,0
2019-12-27T13:08:00+0800,34186418,0
2019-12-27T13:09:00+0800,35978570,0
2019-12-27T13:10:00+0800,43378128,0
2019-12-27T13:11:00+0800,39127998,0
2019-12-27T13:12:00+0800,45042289,0
2019-12-27T13:13:00+0800,49365350,0
2019-12-27T13:14:00+0800,49923555,0
2019-12-27T13:15:00+0800,49856760,0
2019-12-27T13:16:00+0800,41383138,0
2019-12-27T13:17:00+0800,37932506,0
2019-12-27T13:18:00+0800,36278256,0
2019-12-27T13:19:00+0800,37225482,0
2019-12-27T13:20:00+0800,43658155,0
2019-12-27T13:22:00+0800,43142117,0
2019-12-27T13:23:00+0800,44198130,0
2019-12-27T13:24:00+0800,54003716,0
2019-12-27T13:25:00+0800,51332772,0
2019-12-27T13:26:00+0800,40299664,0
2019-12-27T13:28:00+0800,30642719,0
2019-12-27T13:30:00+0800,43660258,0
2019-12-27T13:31:00+0800,36074248,0
2019-12-27T13:32:00+0800,27139508,0
2019-12-27T13:33:00+0800,40677381,0
2019-12-27T13:34:00+0800,34346616,0
2019-12-27T13:35:00+0800,47964573,0
2019-12-27T13:36:00+0800,40066574,0
2019-12-27T13:37:00+0800,42706280,0
2019-12-27T13:38:00+0800,33654419,0
2019-12-27T13:39:00+0800,32526557,0
2019-12-27T13:40:00+0800,40832404,0
2019-12-27T13:41:00+0800,37350714,0
2019-12-27T13:43:00+0800,41405345,0
2019-12-27T13:44:00+0800,52650308,0
2019-12-27T13:45:00+0800,43956261,0
2019-12-27T13:47:00+0800,38703875,0
2019-12-27T13:48:00+0800,36527986,0
2019-12-27T13:49:00+0800,41474336,0
2019-12-27T13:50:00+0800,40277113,0
2019-12-27T13:51:00+0800,33362888,0
2019-12-27T13:52:00+0800,32282102,0
2019-12-27T13:53:00+0800,36247539,0
2019-12-27T13:54:00+0800,52534419,0
2019-12-27T13:55:00+0800,48565231,0
2019-12-27T13:56:00+0800,40522991,0
2019-12-27T13:57:00+0800,37671515,0
2019-12-27T13:58:00+0800,36867307,0
2019-12-27T13:59:00+0800,37432944,0
2019-12-27T14:00:00+0800,46288526,0
2019-12-27T14:01:00+0800,47179422,0
2019-12-27T14:02:00+0800,51130980,0
2019-12-27T14:03:00+0800,46213774,0
2019-12-27T14:04:00+0800,43872684,0
2019-12-27T14:05:00+0800,42980783,0
2019-12-27T14:06:00+0800,35940448,0
2019-12-27T14:07:00+0800,29786109,0
2019-12-27T14:08:00+0800,32617926,0
2019-12-27T14:09:00+0800,34908699,0
2019-12-27T14:10:00+0800,54545413,0
2019-12-27T14:11:00+0800,36009710,0
2019-12-27T14:12:00+0800,34101957,0
2019-12-27T14:13:00+0800,42403999,0
2019-12-27T14:14:00+0800,44176124,0
2019-12-27T14:15:00+0800,47004755,0
2019-12-27T14:16:00+0800,37062549,0
2019-12-27T14:17:00+0800,44835210,0
2019-12-27T14:19:00+0800,41836996,0
2019-12-27T14:20:00+0800,43103956,0
2019-12-27T14:21:00+0800,30933480,0
2019-12-27T14:22:00+0800,40397286,0
2019-12-27T14:23:00+0800,38776660,0
2019-12-27T14:24:00+0800,32815059,0
2019-12-27T14:25:00+0800,264717768,2
2019-12-27T14:26:00+0800,134881654,0
2019-12-27T14:27:00+0800,97914890,0
2019-12-27T14:29:00+0800,37544450,0
2019-12-27T14:30:00+0800,42595949,0
2019-12-27T14:34:00+0800,38482392,0
2019-12-27T14:35:00+0800,43698472,0
2019-12-27T14:36:00+0800,40009932,0
2019-12-27T14:37:00+0800,37181568,0
2019-12-27T14:38:00+0800,34910440,0
2019-12-27T14:39:00+0800,39028393,0
2019-12-27T14:40:00+0800,43418540,0
2019-12-27T14:41:00+0800,44596904,0
2019-12-27T14:42:00+0800,44694185,0
2019-12-27T14:43:00+0800,37439235,0
2019-12-27T14:44:00+0800,49121415,0
2019-12-27T14:45:00+0800,40554589,0
2019-12-27T14:46:00+0800,39564525,0
2019-12-27T14:47:00+0800,52232239,0
2019-12-27T14:48:00+0800,45831423,0
2019-12-27T14:49:00+0800,60680041,0
2019-12-27T14:50:00+0800,46206955,0
2019-12-27T14:51:00+0800,35299609,0
2019-12-27T14:52:00+0800,32463106,0
2019-12-27T14:53:00+0800,34442798,0
2019-12-27T14:54:00+0800,42199018,0
2019-12-27T14:56:00+0800,45964317,0
2019-12-27T14:59:00+0800,46991551,0
2019-12-27T15:00:00+0800,57079920,0
2019-12-27T15:01:00+0800,52021667,0
2019-12-27T15:02:00+0800,46369215,0
2019-12-27T15:03:00+0800,50413443,0
2019-12-27T15:04:00+0800,48812535,0
2019-12-27T15:05:00+0800,56021287,0
2019-12-27T15:06:00+0800,50573198,0
2019-12-27T15:07:00+0800,42950169,0
2019-12-27T15:08:00+0800,32672565,0
2019-12-27T15:09:00+0800,30917576,0
2019-12-27T15:11:00+0800,38783154,0
2019-12-27T15:13:00+0800,45440466,0
2019-12-27T15:14:00+0800,38755529,0
2019-12-27T15:15:00+0800,40521348,0
2019-12-27T15:16:00+0800,47873266,0
2019-12-27T15:17:00+0800,50671236,0
2019-12-27T15:19:00+0800,39125583,0
2019-12-27T15:20:00+0800,49402176,0
2019-12-27T15:21:00+0800,39067219,0
2019-12-27T15:24:00+0800,35467694,0
